CODIGO_DA_IES,NOME_DA_IES,SIGLA,CATEGORIA_DA_IES,COMUNITARIA,CONFESSIONAL,FILANTROPICA,ORGANIZACAO_ACADEMICA,CODIGO_MUNICIPIO_IBGE,MUNICIPIO,UF,SITUACAO_IES
26909,Escola Saúde Pública - ESPMT,ESPMT,Privada,N,N,N,Escola de Governo,null,null,null,Ativa
2030,INSTITUTO SUPERIOR DE EDUCAÇÃO CAMPO LIMPO PAULISTA,ISECAMP,Privada,N,N,N,Faculdade,null,null,null,Extinta
2988,INSTITUTO SUPERIOR DE EDUCAÇÃO FÊNIX DE BAURU,FÊNIX,Privada,N,N,N,Instituto Superior ou Escola Superior,null,null,null,Extinta
1901,FACULDADE CATÓLICA DE UBERLÂNDIA,FCU,Privada,N,S,N,Faculdade,null,null,null,Extinta
3687,FACULDADES INTEGRADAS DE JACAREÍ,FIJ,Privada,N,N,N,Faculdades Integradas,null,null,null,Extinta
4359,ESCOLA AGROTÉCNICA FEDERAL DE SATUBA,EAFSATUBA,Pública,N,N,N,Faculdade,null,null,null,Extinta
2277,INSTITUTO SUPERIOR DE EDUCAÇÃO CENECISTA DE UNAÍ,ISEC,Privada,N,N,N,Faculdade,null,null,null,Extinta
723,FACULDADE DE ADMINISTRAÇÃO DE ASSIS,FAA,Privada,N,N,N,Faculdade,null,null,null,Extinta
1226,INSTITUTO DE ENSINO SUPERIOR DO ACRE,IESACRE,Privada,N,N,N,Faculdade,null,null,null,Extinta
5317,FACULDADE PORTO-ALEGRENSE,FAPA,Privada,N,N,N,Faculdade,null,null,null,Extinta
6407,Faculdade de Tecnologia de Botucatu,null,Pública,N,N,N,Centro Universitário,null,null,null,Extinta
19407,FACULDADES INTEGRADAS CESUMAR DE GUARAPUAVA,CESUMAR,Privada,N,N,N,Faculdade,null,null,null,Extinta
4819,FACULDADE DE TECNOLOGIA SENAI MARIANO FERRAZ,null,Privada,N,N,N,Faculdade,null,null,null,Extinta
2730,FACULDADE UNIDA DA PARAÍBA,UNPB,Privada,N,N,N,Faculdade,null,null,null,Extinta
5235,Universidade Estadual de Feira de Santana,null,Pública,N,N,N,Universidade,null,null,null,Extinta
976,FACULDADES INTEGRADAS DE PONTA PORÃ,FIP,Privada,N,N,N,Faculdade,null,null,null,Extinta
1630,FACULDADE ITABIRANA DE DESENVOLVIMENTO DAS CIÊNCIAS E TECNOLOGIAS,FATEC,Privada,N,N,N,Faculdade,null,null,null,Extinta
5683,FACULDADE DE TECNOLOGIA DA ZONA LESTE,null,Pública,N,N,N,Faculdade de Tecnologia,null,null,null,Extinta
9578,Faculdade de Tecnologia de Cotia,null,Pública,N,N,N,Faculdade,null,null,null,Extinta
462,FACULDADE DE ENGENHARIA DA FUNDAÇÃO ARMANDO ALVARES PENTEADO,FEFAAP,Privada,N,N,N,Faculdade,null,null,null,Extinta
