CODIGO_DA_IES,NOME_DA_IES,SIGLA,CATEGORIA_DA_IES,COMUNITARIA,CONFESSIONAL,FILANTROPICA,ORGANIZACAO_ACADEMICA,CODIGO_MUNICIPIO_IBGE,MUNICIPIO,UF,SITUACAO_IES
14005,INSTITUTO SUPERIOR DE CIÊNCIAS HUMANAS E SOCIAIS APLICADAS DE ABAETÉ,ISAB,Pública,N,N,N,Faculdade,null,null,null,Extinta
9739,Faculdade de Tecnologia de Campinas,null,Pública,N,N,N,Faculdade,null,null,null,Extinta
1681,FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS IBMEC,FACULDADES IBMEC,Privada,N,N,N,Faculdade,null,null,null,Extinta
687,FACULDADE ESTADUAL DE FILOSOFIA CIÊNCIAS LETRAS UNIÃO DA VITÓRIA,FAFIUV,Pública,N,N,N,Faculdade,null,null,null,Extinta
14163,Faculdade de Educação e Estudos Sociais de Governador Valadares,FUNEES G. Valadares,Privada,N,N,N,Faculdade,null,null,null,Extinta
891,FACULDADE  PITÁGORAS,,Privada,N,N,N,Faculdade,null,null,null,Extinta
2828,FACULDADE ITABIRANA DE SAÚDE,FISA,Privada,N,N,N,Faculdade,null,null,null,Extinta
800,FACULDADE DE EDUCAÇÃO FÍSICA MONTENEGRO,FAEFM,Privada,N,N,N,Faculdade,null,null,null,Extinta
22227,Faculdade de Ciências Jurídicas de Alagoinhas,,Privada,N,N,N,Faculdade,null,null,null,Extinta
2245,FACULDADE DO ESPÍRITO SANTO,FACES,Privada,N,N,N,Faculdade,null,null,null,Extinta
