CODIGO_DA_IES,NOME_DA_IES,SIGLA,CATEGORIA_DA_IES,COMUNITARIA,CONFESSIONAL,FILANTROPICA,ORGANIZACAO_ACADEMICA,CODIGO_MUNICIPIO_IBGE,MUNICIPIO,UF,SITUACAO_IES
18474,FACULDADE UNA DE CATALÃO,UNA,Privada,N,N,N,Faculdade,null,null,null,Extinta
21893,FACULDADE MAURÍCIO DE NASSAU DE SANTO ANDRÉ,FMN SANTO ANDRÉ,Privada,N,N,N,Faculdade,null,null,null,Extinta
13758,ESCOLA DE ADMINISTRAÇÃO DE BRASÍLIA,EAB,Privada,N,N,N,Faculdade,null,null,null,Extinta
302,FACULDADE DIVINÓPOLIS,FACED,Privada,N,N,N,Faculdade,null,null,null,Extinta
3181,UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ,null,Privada,N,N,N,Faculdade,null,null,null,Extinta
9501,Faculdade de Tecnologia Sebrae,null,Pública,N,N,N,Faculdade de Tecnologia,null,null,null,Extinta
3788,FACULDADE JUIZ DE FORA,FJF,Privada,N,N,N,Faculdade,null,null,null,Extinta
3460,INSTITUTO SUPERIOR DE ENSINO E PESQUISA DE ITUIUTABA,ISEPI,Pública,N,N,N,Faculdade,null,null,null,Extinta
844,FACULDADE DE AGRONOMIA E ENGENHARIA FLORESTAL DE GARÇA,FAEF,Privada,N,N,N,Faculdade,null,null,null,Extinta
3152,INSTITUTO SUPERIOR DE EDUCAÇÃO SANTA RITA DO SAPUCAÍ,ISE,Privada,N,N,N,Faculdade,null,null,null,Extinta
3046,UNIVERSIDADE ESTADUAL DA PARAÍBA,null,Pública,N,N,N,Universidade,null,null,null,Extinta
3863,FACULDADE PROFESSOR DIRSON MACIEL DE BARROS,null,Pública,N,N,N,Faculdade,null,null,null,Extinta
26780,ESCOLA NAVAL,EN,Pública,N,N,N,Faculdade,null,null,null,Ativa
4417,FACULDADE DE ENFERMAGEM DE BELO JARDIM,FAEB,Pública,N,N,N,Faculdade,null,null,null,Extinta
2776,Faculdades Integradas Norte Capixaba - Fanorte,null,Privada,N,N,N,Faculdades Integradas,null,null,null,Extinta
464,FACULDADE DE ECONOMIA DA FUNDAÇÃO ARMANDO ALVARES PENTEADO,FEC-FAAP,Privada,N,N,N,Faculdade,null,null,null,Extinta
3038,UNIVERSIDADE DO ESTADO DE MATO GROSSO,null,Pública,N,N,N,Universidade,null,null,null,Extinta
395,FACULDADE DE CIÊNCIAS CONTÁBEIS DE LUCÉLIA,CEALPA,Privada,N,N,N,Faculdade,null,null,null,Extinta
2195,FACULDADE DO BELO JARDIM,null,Pública,N,N,N,Faculdade,null,null,null,Extinta
1066,INSTITUTO DE ENSINO E PESQUISA OBJETIVO,IEPO,Privada,N,N,N,Faculdade,null,null,null,Extinta
11384,FACULDADE ANHANGUERA DE RIBEIRÃO PRETO,null,Privada,N,N,N,Faculdade,null,null,null,Extinta
3798,UNIVERSIDADE DO EXTREMO SUL CATARINENSE,null,Privada,N,N,N,Universidade,null,null,null,Extinta
3390,CENTRO UNIVERSITÁRIO DAS FACULDADES ASSOCIADAS DE ENSINO - FAE,null,Pública,N,N,N,Centro Universitário,null,null,null,Extinta
18154,FACULDADE INTEGRADA DE GUARAPUAVA,INTEGRADA,Privada,N,N,N,Faculdade,null,null,null,Extinta
22213,FACULDADE UNAMA DE CASTANHAL,UNAMA CASTANHAL,Privada,N,N,N,Faculdade,null,null,null,Extinta
19332,FACULDADE UNINABUCO BELÉM,NABUCO BELÉM,Privada,N,N,N,Faculdade,null,null,null,Extinta
2088,INSTITUTO SUPERIOR DE EDUCAÇÃO SANTO AGOSTINHO DE TERESINA,ISA,Privada,N,N,N,Faculdade,null,null,null,Extinta
460,FACULDADE DE ARTES PLÁSTICAS DA FUNDAÇÃO ARMANDO ALVARES PENTEADO,FAAP,Privada,N,N,N,Faculdade,null,null,null,Extinta
1787,FACULDADE ANHANGUERA DE JOINVILLE,IESVILLE,Privada,N,N,N,Instituto Superior ou Escola Superior,null,null,null,Extinta
557,ESCOLA DE MÚSICA E BELAS ARTES DO PARANÁ,EMBAP,Pública,N,N,N,Faculdade,null,null,null,Extinta
14367,FACULDADE EFICAZ,FACULDADE EFICAZ,Privada,N,N,N,Faculdade,null,null,null,Extinta
4871,UNIVERSIDADE DO CONTESTADO,null,Privada,N,N,N,Universidade,null,null,null,Extinta
22235,Faculdade de Ciências Jurídicas de Pouso Alegre,,Privada,N,N,N,Faculdade,null,null,null,Extinta
3874,Faculdade Projeção de Planaltina,FAPRO,Privada,N,N,N,Faculdade,null,null,null,Extinta
12415,FACULDADE MAURÍCIO DE NASSAU DE MACEIÓ,FMN Maceió,Privada,N,N,N,Faculdade,null,null,null,Extinta
18408,FACULDADE TABOÃO,FECAF,Privada,N,N,N,Faculdade,null,null,null,Extinta
4823,FACULDADE DE TECNOLOGIA EVOLUÇÃO,FECET,Privada,N,N,N,Faculdade,null,null,null,Extinta
2791,FACULDADE DE CIÊNCIAS AGRÁRIAS E EXATAS DE PRIMAVERA DO LESTE,,Privada,N,N,N,Faculdade,null,null,null,Extinta
18406,FACULDADE CAMPOS,FECAF,Privada,N,N,N,Faculdade,null,null,null,Extinta
2577,INSTITUTO SUPERIOR DE MÚSICA DE SÃO LEOPOLDO,ISM,Privada,N,N,N,Faculdade,null,null,null,Extinta
4737,CENTRO DE ENSINO SUPERIOR DO VALE SÃO FRANCISCO,null,Pública,N,N,N,Faculdade,null,null,null,Extinta
18490,Instituto Politécnico Doctum de Guarapari,null,Privada,N,N,N,Faculdade,null,null,null,Extinta
3461,FACULDADE DE FILOSOFIA DE PASSOS,FAFIPA,Pública,N,N,N,Faculdade,null,null,null,Extinta
2157,INSTITUTO SUPERIOR DE EDUCAÇÃO SANT´ANA,ISESA,Privada,N,N,N,Faculdade,null,null,null,Extinta
5680,Fatec Cruzeiro - Prof. Waldomiro May,null,Pública,N,N,N,Faculdade de Tecnologia,null,null,null,Extinta
2010,FACULDADE ESAMC SOROCABA,ESAMC,Privada,N,N,N,Faculdade,null,null,null,Extinta
4817,FACULDADE DE TECNOLOGIA SENAI ANCHIETA,null,Privada,N,N,N,Faculdade,null,null,null,Extinta
15053,CENTRO UNIVERSITÁRIO UNIVERSO GOIÂNIA,,Privada,N,N,N,Centro Universitário,null,null,null,Ativa
22224,FACULDADE UNIVERITAS UNIVERSUS VERITAS SÃO JOSÉ DO RIO PRETO,UNIVERITAS SJP,Privada,N,N,N,Faculdade,null,null,null,Extinta
3309,FACULDADE DE TECNOLOGIA INTERNACIONAL,FATEC INTERNACIONAL,Privada,N,N,N,Faculdade,null,null,null,Extinta
22157,Faculdade de Ciências Jurídicas de Serrinha,,Privada,N,N,N,Faculdade,null,null,null,Extinta
2553,Faculdade Dom Pedro II - Luis Eduardo Magalhães,FDP II LEM,Privada,N,N,N,Faculdade,null,null,null,Extinta
22150,Faculdade de Ciências Jurídicas de Ribeirão das Neves,,Privada,N,N,N,Faculdade,null,null,null,Extinta
2736,INSTITUTO TECNOLÓGICO DE CARATINGA,ITC,Privada,N,N,N,Faculdade,null,null,null,Extinta
3462,FACULDADE DE ENFERMAGEM DE PASSOS,FAENPA,Pública,N,N,N,Faculdade,null,null,null,Extinta
4195,UNIVERSIDADE DO SUL DE SANTA CATARINA,null,Privada,N,N,N,Universidade,null,null,null,Extinta
5593,FACULDADE ADVENTISTA DE HORTOLÂNDIA - UNASP HORTOLÂNDIA,FAH/UNASP-HT,Privada,N,N,N,Faculdade,null,null,null,Extinta
3684,FUNDAÇÃO DE ENSINO SUPERIOR DE CLEVELÂNDIA,FESC,Privada,N,N,N,Faculdade,null,null,null,Extinta
463,Faculdade de Comunicação e Marketing da Fundação Armando Álvares Penteado,FACOM-FAAP,Privada,N,N,N,Faculdade,null,null,null,Extinta
2077,FACULDADE ANGLO-AMERICANO,FAA,Privada,N,N,N,Faculdade,null,null,null,Extinta
6490,Faculdade de Tecnologia de Mauá,null,Pública,N,N,N,Faculdade,null,null,null,Extinta
1158,FACULDADE RUY BARBOSA DE CIÊNCIA DA COMPUTAÇÃO,FRBCC,Privada,N,N,N,Faculdade,null,null,null,Extinta
3464,FACULDADE DE ENGENHARIA DE PASSOS,FEP,Pública,N,N,N,Faculdade,null,null,null,Extinta
2794,FACULDADE DE CIÊNCIAS SOCIAIS E HUMANAS SOBRAL PINTO,FAIESP,Privada,N,N,N,Faculdade,null,null,null,Extinta
4322,FACULDADE MUNICIPAL DE PALHOÇA,null,Pública,N,N,N,Faculdade,null,null,null,Extinta
999,FACULDADE DE DIREITO DE BAURU,FDB,Privada,N,N,N,Faculdade,null,null,null,Extinta
5715,FACULDADE DE TECNOLOGIA DE LINS,null,Pública,N,N,N,Faculdade de Tecnologia,null,null,null,Extinta
8817,Faculdade de Tecnologia de São Roque,null,Pública,N,N,N,Faculdade de Tecnologia,null,null,null,Extinta
840,FACULDADE VITORIANA DE TECNOLOGIA,FVT,Privada,N,N,N,Faculdade,null,null,null,Extinta
12763,FACULDADE SANTA CASA,FSC,Privada,N,N,N,Faculdade,null,null,null,Em atividade
1095,FACULDADE DE ADMINISTRAÇÃO E NEGÓCIOS DE MONTE ALTO,FAN,Privada,N,N,N,Faculdade,null,null,null,Extinta
1654,INSTITUTO DE ENSINO SUPERIOR DE NOVA VENÉCIA,INESV,Privada,N,N,N,Instituto Superior ou Escola Superior,null,null,null,Extinta
25817,ESCOLA NACIONAL DE FORMAÇÃO E APERFEIÇOAMENTO DE MAGISTRADOS,ENFAM,Pública,N,N,N,Escola de Governo,null,null,null,Ativa
680,FACULDADES INTEGRADAS DE PEDRO LEOPOLDO,FIPEL,Privada,N,N,N,Faculdade,null,null,null,Extinta
19050,FACULDADE INTEGRADA DE CARIACICA,MULTIVIX CARIAC,Privada,N,N,N,Faculdade,null,null,null,Extinta
18652,Faculdade UniJuazeiro,FacJuazeiro,Privada,N,N,N,Faculdade,null,null,null,Extinta
19735,FACULDADE RENOVAÇÃO DE LONDRINA,RENOVAÇÃO,Privada,N,N,N,Faculdade,null,null,null,Extinta
18362,Faculdade de Tecnologia - FATEC de Pompéia,,Pública,N,N,N,Faculdade,null,null,null,Extinta
2609,INSTITUTO SUPERIOR DE EDUCAÇÃO DE TUPI PAULISTA,ISETP,Privada,N,N,N,Faculdade,null,null,null,Extinta
25721,INSTITUTO ESTADUAL CARLOS GOMES,IECG,Pública,N,N,N,Faculdade,null,null,null,Ativa
3466,FACULDADE DE SERVIÇO SOCIAL DE PASSOS,FASESP,Pública,N,N,N,Faculdade,null,null,null,Extinta
2307,INSTITUTO SUPERIOR DE EDUCAÇÃO DE ITABIRA,ISEI,Privada,N,N,N,Faculdade,null,null,null,Extinta
1442,FACULDADE DE DIREITO DE TANGARÁ DA SERRA,,Privada,N,N,N,Faculdade,null,null,null,Extinta
1147,FACULDADE RUY BARBOSA DE PSICOLOGIA,FRBPSIC,Privada,N,N,N,Faculdade,null,null,null,Extinta
24465,ACADEMIA DE POLÍCIA MILITAR DO ESPÍRITO SANTO,APM/ES,Pública,N,N,N,Faculdade,null,null,null,Ativa
3872,FACULDADE DE TECNOLOGIA SÃO CARLOS,FATESC,Privada,N,N,N,Faculdade de Tecnologia,null,null,null,Extinta
1668,FACULDADE PITÁGORAS DE MINAS GERAIS,null,Privada,N,N,N,Faculdade,null,null,null,Extinta
5129,ESCOLA AGROTÉCNICA FEDERAL DE CERES,null,Pública,N,N,N,Faculdade,null,null,null,Extinta
2563,INSTITUTO SUPERIOR DE EDUCAÇÃO PADRE JOÃO BAGOZZI,COSJISUP,Privada,N,N,N,Faculdade,null,null,null,Extinta
13971,INSTITUTO DE ENSINO SUPERIOR INTEGRADO,IESI,Privada,N,N,N,Faculdade,null,null,null,Extinta
21367,FACULDADE MAURÍCIO DE NASSAU DE CAMPINAS,FMN CAMPINAS,Privada,N,N,N,Faculdade,null,null,null,Extinta
2912,FACULDADE MARIA MILZA - CAMPUS FACTAE,FAMAM-FACTAE,Privada,N,N,N,Faculdade,null,null,null,Extinta
5216,"FACULDADE ANHANGUERA DE EDUCAÇÃO, CIÊNCIAS E TECNOLOGIA DE SOROCABA",null,Privada,N,N,N,Faculdade,null,null,null,Extinta
27085,Hospital Militar de Área de Brasília,HMAB,Pública,N,N,N,Faculdade,null,null,null,Ativa
24554,IBET - Instituto Brasileiro de Estudos Tributários,,Privada,N,N,N,Instituição Especialmente Credenciada para oferta de cursos lato sensu,null,null,null,Ativa
26759,Hospital Militar de Área de São Paulo,HMASP,Pública,N,N,N,Instituição Especialmente Credenciada para oferta de cursos lato sensu,null,null,null,Ativa
