CODIGO_DA_IES,NOME_DA_IES,SIGLA,CATEGORIA_DA_IES,COMUNITARIA,CONFESSIONAL,FILANTROPICA,ORGANIZACAO_ACADEMICA,CODIGO_MUNICIPIO_IBGE,MUNICIPIO,UF,SITUACAO_IES
2181,INSTITUTO SUPERIOR DE EDUCAÇÃO CENECISTA DE CAPIVARI,ISECC,Privada,N,N,N,Faculdade,null,null,null,Extinta
22229,Faculdade de Ciências Jurídicas de Itapeva,,Privada,N,N,N,Faculdade,null,null,null,Extinta
181,FACULDADE DE ODONTOLOGIA DE CARUARU,FOC,Privada,N,N,N,Faculdade,null,null,null,Extinta
25458,FACULDADE IEPG,IEPG,Privada,N,N,N,Faculdade,null,null,null,Ativa
7977,Faculdade de Tecnologia de Itaquera,null,Pública,N,N,N,Faculdade de Tecnologia,null,null,null,Extinta
3176,INSTITUTO SUPERIOR DE EDUCAÇÃO EQUIPE,ISEE,Privada,N,N,N,Faculdade,null,null,null,Extinta
22228,Faculdade de Ciências Jurídicas de Catanduva,,Privada,N,N,N,Faculdade,null,null,null,Extinta
3117,FACULDADE DE SAÚDE E DESENVOLVIMENTO HUMANO SANTO AGOSTINHO,FS,Privada,N,N,N,Faculdade,null,null,null,Extinta
19208,FACULDADE CAPIXABA DE CARIACICA,MULTIVIX CARIAC,Privada,N,N,N,Faculdade,null,null,null,Extinta
14191,Faculdade Presidente Antônio Carlos de Teófilo Otoni,FUCJ T. Otoni,Privada,N,N,N,Faculdade,null,null,null,Extinta
26467,Hospital Central do Exército,HCE,Pública,N,N,N,Instituição Especialmente Credenciada para oferta de cursos lato sensu,null,null,null,Ativa
5665,FACULDADE CAPIXABA DE NOVA VENÉCIA,null,Privada,N,N,N,Faculdade,null,null,null,Extinta
1706,FACULDADE DE INFORMÁTICA DO RECIFE,FACIR,Privada,N,N,N,Faculdade,null,null,null,Extinta
3784,INSTITUTO DE ENSINO SUPERIOR DO RIO GRANDE DO NORTE,IESRN,Privada,N,N,N,Faculdade,null,null,null,Extinta
3479,INSTITUTO SUPERIOR DE EDUCAÇÃO NOSSA SENHORA DE SION,ISE- SION,Pública,N,N,N,Faculdade,null,null,null,Extinta
22152,Faculdade de Ciências Jurídicas de Santo Antônio de Jesus,,Privada,N,N,N,Faculdade,null,null,null,Extinta
1795,FACULDADES INTEGRADAS DO VALE DO IGUAÇU,null,Privada,N,N,N,Faculdade,null,null,null,Extinta
25123,Faculdade Vale do Iguaçu Canoinhas,,Privada,N,N,N,Faculdade,null,null,null,Ativa
18093,Faculdade Brasil Inteligente,,Privada,N,N,N,Faculdade,null,null,null,Extinta
4703,CENTRO UNIVERSITÁRIO DE FRANCA,null,Pública,N,N,N,Centro Universitário,null,null,null,Extinta
6082,CENTRO UNIVERSITÁRIO MUNICIPAL DE SÃO JOSÉ,null,Pública,N,N,N,Centro Universitário,null,null,null,Extinta
215,UNIVERSIDADE DO GRANDE ABC,UNIABC,Privada,N,N,N,Universidade,null,null,null,Extinta
2362,FACULDADE DE CIÊNCIAS MÉDICAS DE CAMPINA GRANDE,FCM,Privada,N,N,N,Faculdade,null,null,null,Extinta
1089,CENTRO DE EDUCAÇÃO SUPERIOR - ÚNICA,UNICA,Privada,N,N,N,Faculdade,null,null,null,Extinta
3471,FACULDADE DE MODA DE PASSOS,FAMOPA,Pública,N,N,N,Faculdade,null,null,null,Extinta
2476,FACULDADE FÊNIX DE BAURU,FÊNIX,Privada,N,N,N,Faculdade,null,null,null,Extinta
21614,Faculdade Politécnica de Londrina,POLITÉCNICA,Privada,N,N,N,Faculdade,null,null,null,Extinta
10478,Faculdade de Tecnologia de Santana de Parnaíba,null,Pública,N,N,N,Faculdade de Tecnologia,null,null,null,Extinta
5032,UNIVERSIDADE ALTO VALE DO RIO DO PEIXE,null,Privada,N,N,N,Universidade,null,null,null,Extinta
14134,Faculdade Presidente Antônio Carlos de Abre Campo,FUNEES Abre Campo,Privada,N,N,N,Faculdade,null,null,null,Extinta
3477,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS NOSSA SENHORA DE SION,FAFI/SION,Pública,N,N,N,Faculdade,null,null,null,Extinta
1798,FACULDADE EDUCACIONAL DE CORNÉLIO PROCÓPIO,FACED,Privada,N,N,N,Faculdade,null,null,null,Extinta
421,FACULDADE ESTADUAL DE CIÊNCIAS E LETRAS DE CAMPO MOURÃO,FECILCAM,Pública,N,N,N,Faculdade,null,null,null,Extinta
1505,FACULDADE DE MEDICINA VETERINÁRIA E ZOOTECNIA,FAMED,Privada,N,N,N,Faculdade,null,null,null,Extinta
24647,Instituto de Assistência Médica ao Serviço Público Estadual,IAMSPE,Pública,N,N,N,Instituição Especialmente Credenciada para oferta de cursos lato sensu,null,null,null,Ativa
19737,FACULDADE RENOVAÇÃO DE GUARAPUAVA,RENOVAÇÃO,Privada,N,N,N,Faculdade,null,null,null,Extinta
1181,FACULDADE BRASÍLIA DE SÃO PAULO,FABRASP,Privada,N,N,N,Faculdade,null,null,null,Extinta
24522,Instituto Nacional de Cardiologia,INC,Pública,N,N,N,Instituição Especialmente Credenciada para oferta de cursos lato sensu,null,null,null,Ativa
22140,Faculdade de Ciências Jurídicas de Uruguaiana,,Privada,N,N,N,Faculdade,null,null,null,Extinta
2407,FACULDADES INTEGRADAS FACVEST,FACVEST,Privada,N,N,N,Faculdade,null,null,null,Extinta
